date,year,month,n_hours,tmax_c,tmin_c,dtr_c,dtr_bin,observed_tmax_solar_h,tmax_minus_1h_c,tmax_minus_2h_c,tmax_minus_3h_c,norm_drop_1h,norm_drop_2h,norm_drop_3h,htemp_daily_rmse,htemp_daily_bias
2020-12-23,2020,12,24,-14.0,-20.0,6.0,<10,12.316666666666666,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,1.9571599970346756,-0.2588142903220341
2020-12-24,2020,12,24,-16.0,-20.0,4.0,<10,14.316666666666666,1.0,2.0,2.0,0.25,0.5,0.5,0.8815724772124367,-0.005657893171490495
2020-12-25,2020,12,24,-10.0,-19.0,9.0,<10,13.3,1.0,3.0,4.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,1.5616327538010963,0.13371128422558365
2020-12-26,2020,12,24,-12.0,-18.0,6.0,<10,13.3,0.0,1.0,3.0,0.0,0.16666666666666666,0.5,1.4443677782262796,-0.3409307686731963
2020-12-27,2020,12,24,-11.0,-15.0,4.0,<10,13.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3343181829327722,-0.5880287453244213
2020-12-28,2020,12,24,-12.0,-19.0,7.0,<10,13.283333333333333,1.0,1.0,3.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,3.263854260269744,-1.2366270027472543
2020-12-29,2020,12,24,-17.0,-20.0,3.0,<10,13.783333333333333,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.8054060881510674,-0.27367447170744824
2020-12-30,2020,12,24,-15.0,-20.0,5.0,<10,14.266666666666667,0.0,1.0,1.0,0.0,0.2,0.2,1.3727383121181305,-0.8582367353672784
2020-12-31,2020,12,24,-12.0,-19.0,7.0,<10,13.766666666666667,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,1.507832173052068,-0.40077367307483636
2021-01-01,2021,1,24,-11.0,-18.0,7.0,<10,13.766666666666667,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,1.6346915842443022,-0.06717462619910375
2021-01-02,2021,1,24,-12.0,-17.0,5.0,<10,13.75,0.0,0.0,1.0,0.0,0.0,0.2,1.5052355577469123,-0.8983831373864517
2021-01-03,2021,1,24,-13.0,-20.0,7.0,<10,11.75,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,2.9186778629703083,-0.06486566989081018
2021-01-04,2021,1,24,-17.0,-24.0,7.0,<10,14.233333333333333,0.0,2.0,3.0,0.0,0.2857142857142857,0.42857142857142855,2.0091127894692047,-0.3135712304382097
2021-01-05,2021,1,24,-21.0,-25.0,4.0,<10,13.233333333333333,0.0,1.0,1.0,0.0,0.25,0.25,0.9033708368561632,0.3335064430996315
2021-01-06,2021,1,24,-20.0,-26.0,6.0,<10,14.233333333333333,0.0,2.0,4.0,0.0,0.3333333333333333,0.6666666666666666,1.2461403914333775,-0.04014626564497122
2021-01-07,2021,1,24,-16.0,-24.0,8.0,<10,13.216666666666667,1.0,1.0,4.0,0.125,0.125,0.5,2.111500107280911,0.9621416606721086
2021-01-08,2021,1,24,-16.0,-24.0,8.0,<10,14.216666666666667,1.0,1.0,2.0,0.125,0.125,0.25,1.9269395608961897,-1.202656345879532
2021-01-09,2021,1,24,-12.0,-20.0,8.0,<10,14.2,1.0,2.0,3.0,0.125,0.25,0.375,2.4148354934562595,-0.4090147396923239
2021-01-10,2021,1,24,-14.0,-22.0,8.0,<10,10.2,0.0,0.0,1.0,0.0,0.0,0.125,4.022932270729196,-0.6569553834677432
2021-01-11,2021,1,24,-17.0,-23.0,6.0,<10,14.7,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.6924792567440664,-0.11609500511735549
2021-01-12,2021,1,24,-13.0,-21.0,8.0,<10,14.183333333333334,1.0,3.0,4.0,0.125,0.375,0.5,1.2042510998071123,0.4724495372986075
2021-01-13,2021,1,24,-6.0,-19.0,13.0,10-<14.5,15.183333333333334,1.0,2.0,2.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,3.30635752460593,-1.3690895987429412
2021-01-14,2021,1,24,-6.0,-13.0,7.0,<10,12.666666666666666,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,3.146799333687711,-0.5876501427911222
2021-01-15,2021,1,24,-12.0,-19.0,7.0,<10,13.166666666666666,1.0,2.0,3.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,2.9027937466361102,-0.8771284967452512
2021-01-16,2021,1,24,-18.0,-25.0,7.0,<10,13.666666666666666,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,2.0803762315793346,-1.333193489992471
2021-01-17,2021,1,24,-13.0,-22.0,9.0,<10,12.65,0.0,1.0,2.0,0.0,0.1111111111111111,0.2222222222222222,1.4359099252845728,0.05080712829694548
2021-01-18,2021,1,24,-11.0,-19.0,8.0,<10,13.65,0.0,0.0,1.0,0.0,0.0,0.125,1.544856484374584,0.15437388703280797
2021-01-19,2021,1,24,-12.0,-19.0,7.0,<10,14.15,0.0,1.0,2.0,0.0,0.14285714285714285,0.2857142857142857,0.9145058586263968,-0.0759858234363991
2021-01-20,2021,1,24,-8.0,-18.0,10.0,10-<14.5,14.133333333333333,1.0,3.0,5.0,0.1,0.3,0.5,2.269963031280356,-0.7061444936365401
2021-01-21,2021,1,24,-4.0,-15.0,11.0,10-<14.5,10.133333333333333,2.0,0.0,1.0,0.18181818181818182,0.0,0.09090909090909091,4.683034391583955,0.7398144719380065
2021-01-22,2021,1,24,-3.0,-16.0,13.0,10-<14.5,23.133333333333333,,,,,,,3.8133607237673925,0.5459010443618376
2021-01-23,2021,1,24,-2.0,-9.0,7.0,<10,0.6333333333333333,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,3.8156133343141465,0.01779685057020904
2021-01-24,2021,1,24,-3.0,-15.0,12.0,10-<14.5,15.116666666666667,4.0,5.0,3.0,0.3333333333333333,0.4166666666666667,0.25,2.6892242128347807,-1.2623835241512624
