date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-10-16,9.728,9.728,0.0,18.04,18.04,0.0,28.87,28.87,0.0
2003-10-17,9.704,9.704,0.0,18.23,18.23,0.0,29.11,29.11,0.0
2003-10-18,9.467,9.467,0.0,17.84,17.84,0.0,28.37,28.37,0.0
2003-10-19,9.27,9.27,0.0,17.56,17.56,0.0,27.85,27.85,0.0
2003-10-20,9.063,9.063,0.0,17.23,17.23,0.0,26.81,26.81,0.0
2003-10-21,7.981,7.981,0.0,14.43,14.43,0.0,23.6,23.6,0.0
2003-10-22,7.572,7.572,0.0,15.26,15.26,0.0,23.9,23.9,0.0
2003-10-23,7.845,7.845,0.0,15.03,15.03,0.0,23.79,23.79,0.0
2003-10-24,7.935,7.935,0.0,14.97,14.97,0.0,23.79,23.79,0.0
2003-10-25,7.892,7.892,0.0,15.05,15.05,0.0,23.81,23.81,0.0
2003-10-26,8.006,8.006,0.0,15.41,15.41,0.0,24.44,24.44,0.0
2003-10-27,8.112,8.112,0.0,16.01,16.01,0.0,25.14,25.14,0.0
2003-10-28,8.01,8.01,0.0,16.01,16.01,0.0,24.77,24.77,0.0
2003-10-29,7.881,7.881,0.0,16.02,16.02,0.0,24.31,24.31,0.0
2003-10-30,7.095,7.095,0.0,15.67,15.67,0.0,23.5,23.5,0.0
2003-10-31,7.238,7.238,0.0,15.43,15.43,0.0,23.16,23.16,0.0
2003-11-01,7.234,7.234,0.0,13.62,13.62,0.0,21.19,21.19,0.0
2003-11-02,6.718,6.718,0.0,13.09,13.09,0.0,20.45,20.45,0.0
2003-11-03,6.606,6.606,0.0,13.0,13.0,0.0,20.27,20.27,0.0
2003-11-04,6.668,6.668,0.0,13.42,13.42,0.0,20.66,20.66,0.0
2003-11-05,6.902,6.902,0.0,14.19,14.19,0.0,21.92,21.92,0.0
2003-11-06,6.681,6.681,0.0,13.81,13.81,0.0,21.09,21.09,0.0
2003-11-07,6.495,6.495,0.0,13.43,13.43,0.0,20.19,20.19,0.0
2003-11-08,5.938,5.938,0.0,13.18,13.18,0.0,19.68,19.68,0.0
2003-11-09,6.028,6.028,0.0,12.96,12.96,0.0,19.38,19.38,0.0
2003-11-10,6.16,6.16,0.0,12.09,12.09,0.0,18.54,18.54,0.0
2003-11-11,7.515,7.515,0.0,17.04,17.04,0.0,26.23,26.23,0.0
2003-11-12,10.28,10.28,0.0,21.97,21.97,0.0,31.99,31.99,0.0
