alpha,beta,q0,cal_all_rmse,cal_high_rmse,objective
1.1,2.7,0.362628,2.396617,4.674077,3.535347
1.1,2.8,0.362628,2.396758,4.675142,3.53595
1.1,2.9,0.362628,2.396891,4.676153,3.536522
1.1,3.0,0.362628,2.397018,4.677114,3.537066
1.2,0.0,0.362628,2.371875,4.483507,3.427691
1.2,0.1,0.362628,2.376986,4.523365,3.450175
1.2,0.2,0.362628,2.380652,4.551792,3.466222
1.2,0.3,0.362628,2.383338,4.572539,3.477939
1.2,0.4,0.362628,2.385371,4.588191,3.486781
1.2,0.5,0.362628,2.386957,4.600376,3.493666
1.2,0.6,0.362628,2.388228,4.610125,3.499176
1.2,0.7,0.362628,2.389271,4.618108,3.50369
1.2,0.8,0.362628,2.390143,4.624778,3.50746
1.2,0.9,0.362628,2.390884,4.630443,3.510664
1.2,1.0,0.362628,2.391524,4.635325,3.513425
1.2,1.1,0.362628,2.392082,4.639585,3.515834
1.2,1.2,0.362628,2.392575,4.643341,3.517958
1.2,1.3,0.362628,2.393013,4.646684,3.519849
1.2,1.4,0.362628,2.393407,4.649682,3.521544
1.2,1.5,0.362628,2.393763,4.65239,3.523076
1.2,1.6,0.362628,2.394086,4.654851,3.524469
1.2,1.7,0.362628,2.394382,4.657101,3.525741
1.2,1.8,0.362628,2.394654,4.659167,3.52691
1.2,1.9,0.362628,2.394904,4.661072,3.527988
1.2,2.0,0.362628,2.395137,4.662837,3.528987
1.2,2.1,0.362628,2.395353,4.664478,3.529915
1.2,2.2,0.362628,2.395554,4.666008,3.530781
1.2,2.3,0.362628,2.395743,4.667439,3.531591
1.2,2.4,0.362628,2.39592,4.668782,3.532351
1.2,2.5,0.362628,2.396086,4.670045,3.533065
1.2,2.6,0.362628,2.396243,4.671236,3.533739
1.2,2.7,0.362628,2.396391,4.672361,3.534376
1.2,2.8,0.362628,2.396532,4.673427,3.534979
1.2,2.9,0.362628,2.396665,4.674438,3.535551
1.2,3.0,0.362628,2.396792,4.675399,3.536095
1.3,0.0,0.362628,2.371666,4.481877,3.426772
1.3,0.1,0.362628,2.376778,4.521749,3.449263
1.3,0.2,0.362628,2.380444,4.550185,3.465315
1.3,0.3,0.362628,2.383131,4.57094,3.477036
1.3,0.4,0.362628,2.385164,4.586597,3.485881
1.3,0.5,0.362628,2.38675,4.598786,3.492768
1.3,0.6,0.362628,2.388021,4.608539,3.49828
1.3,0.7,0.362628,2.389064,4.616525,3.502795
