branch,k,n,cal_rmse
pre,4.58,95,8.066245921278083
pre,4.59,95,8.06616704045566
pre,4.6000000000000005,95,8.066088179349798
pre,4.61,95,8.066009337951138
pre,4.62,95,8.065930516250303
pre,4.63,95,8.065851714237924
pre,4.64,95,8.065772931904645
pre,4.65,95,8.065694169241114
pre,4.66,95,8.06561542623798
pre,4.67,95,8.065536702885895
pre,4.68,95,8.065457999175528
pre,4.69,95,8.065379315097541
pre,4.7,95,8.06530065064261
pre,4.71,95,8.065222005801408
pre,4.72,95,8.06514338056463
pre,4.73,95,8.065064774922948
pre,4.74,95,8.064986188867069
pre,4.75,95,8.064907622387688
pre,4.76,95,8.06482907547551
pre,4.7700000000000005,95,8.064750548121252
pre,4.78,95,8.064672040315621
pre,4.79,95,8.064593552049342
pre,4.8,95,8.064515083313141
pre,4.8100000000000005,95,8.064436634097751
pre,4.82,95,8.064358204393912
pre,4.83,95,8.064279794192363
pre,4.84,95,8.064201403483851
pre,4.8500000000000005,95,8.064123032259134
pre,4.86,95,8.064044680508967
pre,4.87,95,8.06396634822412
pre,4.88,95,8.063888035395356
pre,4.89,95,8.063809742013452
pre,4.9,95,8.063731468069193
pre,4.91,95,8.063653213553359
pre,4.92,95,8.063574978456744
pre,4.93,95,8.063496762770143
pre,4.94,95,8.063418566484357
pre,4.95,95,8.063340389590198
pre,4.96,95,8.063262232078475
pre,4.97,95,8.063184093940004
pre,4.98,95,8.06310597516561
pre,4.99,95,8.063027875746121
pre,5.0,95,8.062949795672376
pre,5.01,95,8.062871734935202
pre,5.0200000000000005,95,8.062793693525455
pre,5.03,95,8.062715671433978
pre,5.04,95,8.062637668651627
pre,5.05,95,8.062559685169264
pre,5.0600000000000005,95,8.062481720977758
pre,5.07,95,8.062403776067969
pre,5.08,95,8.062325850430788
pre,5.09,95,8.062247944057082
pre,5.1000000000000005,95,8.062170056937747
pre,5.11,95,8.062092189063671
pre,5.12,95,8.062014340425753
pre,5.13,95,8.061936511014896
pre,5.14,95,8.061858700822002
pre,5.15,95,8.061780909837996
pre,5.16,95,8.061703138053783
pre,5.17,95,8.061625385460294
pre,5.18,95,8.061547652048457
pre,5.19,95,8.061469937809207
pre,5.2,95,8.061392242733481
pre,5.21,95,8.061314566812227
pre,5.22,95,8.061236910036387
pre,5.23,95,8.061159272396926
pre,5.24,95,8.061081653884798
pre,5.25,95,8.061004054490969
pre,5.26,95,8.060926474206417
pre,5.2700000000000005,95,8.060848913022106
pre,5.28,95,8.060771370929025
pre,5.29,95,8.060693847918161
pre,5.3,95,8.060616343980502
pre,5.3100000000000005,95,8.06053885910704
pre,5.32,95,8.060461393288794
pre,5.33,95,8.060383946516755
pre,5.34,95,8.060306518781942
pre,5.3500000000000005,95,8.06022911007537
pre,5.36,95,8.060151720388063
pre,5.37,95,8.060074349711051
pre,5.38,95,8.059996998035366
pre,5.39,95,8.05991966535205
pre,5.4,95,8.05984235165214
pre,5.41,95,8.059765056926686
pre,5.42,95,8.059687781166742
pre,5.43,95,8.059610524363372
pre,5.44,95,8.059533286507635
pre,5.45,95,8.059456067590602
pre,5.46,95,8.059378867603352
pre,5.47,95,8.059301686536955
pre,5.48,95,8.059224524382506
pre,5.49,95,8.059147381131089
pre,5.5,95,8.059070256773799
pre,5.51,95,8.058993151301738
pre,5.5200000000000005,95,8.058916064706017
pre,5.53,95,8.058838996977737
pre,5.54,95,8.058761948108017
pre,5.55,95,8.05868491808798
pre,5.5600000000000005,95,8.058607906908751
pre,5.57,95,8.058530914561462
pre,5.58,95,8.058453941037248
pre,5.59,95,8.058376986327254
pre,5.6000000000000005,95,8.058300050422613
pre,5.61,95,8.058223133314497
pre,5.62,95,8.058146234994048
pre,5.63,95,8.058069355452432
pre,5.64,95,8.057992494680816
pre,5.65,95,8.057915652670374
pre,5.66,95,8.057838829412278
pre,5.67,95,8.057762024897716
pre,5.68,95,8.057685239117871
pre,5.69,95,8.057608472063936
pre,5.7,95,8.057531723727113
pre,5.71,95,8.057454994098595
pre,5.72,95,8.0573782831696
pre,5.73,95,8.057301590931333
pre,5.74,95,8.057224917375017
pre,5.75,95,8.057148262491873
pre,5.76,95,8.057071626273126
pre,5.7700000000000005,95,8.056995008710011
pre,5.78,95,8.056918409793767
pre,5.79,95,8.056841829515635
pre,5.8,95,8.056765267866863
pre,5.8100000000000005,95,8.05668872483871
pre,5.82,95,8.056612200422425
pre,5.83,95,8.056535694609275
pre,5.84,95,8.056459207390528
pre,5.8500000000000005,95,8.056382738757458
pre,5.86,95,8.056306288701345
pre,5.87,95,8.05622985721347
pre,5.88,95,8.056153444285119
pre,5.89,95,8.05607704990759
pre,5.9,95,8.056000674072175
pre,5.91,95,8.055924316770184
pre,5.92,95,8.055847977992922
pre,5.93,95,8.055771657731706
pre,5.94,95,8.055695355977846
pre,5.95,95,8.055619072722672
pre,5.96,95,8.05554280795751
pre,5.97,95,8.055466561673697
pre,5.98,95,8.055390333862567
pre,5.99,95,8.055314124515466
pre,6.0,95,8.055237933623738
pre,6.01,95,8.055161761178741
pre,6.0200000000000005,95,8.055085607171828
pre,6.03,95,8.05500947159437
pre,6.04,95,8.054933354437727
pre,6.05,95,8.054857255693278
pre,6.0600000000000005,95,8.054781175352398
pre,6.07,95,8.054705113406472
pre,6.08,95,8.054629069846886
pre,6.09,95,8.054553044665033
pre,6.1000000000000005,95,8.05447703785231
pre,6.11,95,8.054401049400125
pre,6.12,95,8.054325079299879
pre,6.13,95,8.054249127542986
pre,6.140000000000001,95,8.054173194120871
pre,6.15,95,8.054097279024948
pre,6.16,95,8.054021382246647
pre,6.17,95,8.0539455037774
pre,6.18,95,8.053869643608646
pre,6.19,95,8.053793801731826
pre,6.2,95,8.05371797813839
pre,6.21,95,8.05364217281979
pre,6.22,95,8.053566385767475
pre,6.23,95,8.053490616972912
pre,6.24,95,8.05341486642757
pre,6.25,95,8.05333913412292
pre,6.26,95,8.053263420050436
pre,6.2700000000000005,95,8.053187724201605
pre,6.28,95,8.053112046567907
pre,6.29,95,8.053036387140835
pre,6.3,95,8.052960745911887
pre,6.3100000000000005,95,8.052885122872565
pre,6.32,95,8.052809518014369
pre,6.33,95,8.052733931328815
pre,6.34,95,8.052658362807419
pre,6.3500000000000005,95,8.052582812441699
pre,6.36,95,8.052507280223182
pre,6.37,95,8.052431766143396
pre,6.38,95,8.052356270193878
pre,6.390000000000001,95,8.052280792366169
pre,6.4,95,8.05220533265181
pre,6.41,95,8.052129891042355
pre,6.42,95,8.052054467529357
pre,6.43,95,8.051979062104374
pre,6.44,95,8.05190367475897
pre,6.45,95,8.051828305484717
pre,6.46,95,8.051752954273185
pre,6.47,95,8.051677621115957
pre,6.48,95,8.051602306004613
pre,6.49,95,8.051527008930744
pre,6.5,95,8.05145172988594
pre,6.51,95,8.051376468861802
pre,6.5200000000000005,95,8.051301225849931
pre,6.53,95,8.051226000841936
pre,6.54,95,8.051150793829425
pre,6.55,95,8.051075604804023
pre,6.5600000000000005,95,8.051000433757345
pre,6.57,95,8.050925280681023
pre,6.58,95,8.050850145566688
pre,6.59,95,8.050775028405967
pre,6.6000000000000005,95,8.050699929190516
pre,6.61,95,8.050624847911973
pre,6.62,95,8.050549784561987
pre,6.63,95,8.050474739132218
pre,6.640000000000001,95,8.050399711614325
pre,6.65,95,8.05032470199997
pre,6.66,95,8.050249710280829
pre,6.67,95,8.05017473644857
pre,6.68,95,8.050099780494877
pre,6.69,95,8.050024842411432
pre,6.7,95,8.049949922189924
pre,6.71,95,8.049875019822048
pre,6.72,95,8.049800135299508
pre,6.73,95,8.049725268613992
pre,6.74,95,8.049650419757223
pre,6.75,95,8.0495755887209
pre,6.76,95,8.049500775496753
pre,6.7700000000000005,95,8.049425980076496
pre,6.78,95,8.049351202451865
pre,6.79,95,8.049276442614582
pre,6.8,95,8.049201700556388
pre,6.8100000000000005,95,8.049126976269019
